# pmt_id easting_cm northing_cm
409 -806.00 -13960.33
410 -403.00 -13960.33
411 0.00 -13960.33
412 403.00 -13960.33
413 806.00 -13960.33
414 1209.00 -13960.33
415 1612.00 -13960.33
416 2015.00 -13960.33
417 2418.00 -13960.33
418 2821.00 -13960.33
419 3224.00 -13960.33
420 3627.00 -13960.33
421 4030.00 -13960.33
422 4433.00 -13960.33
423 4836.00 -13960.33
424 5239.00 -13960.33
425 5642.00 -13960.33
426 6045.00 -13960.33
427 6448.00 -13960.33
428 6851.00 -13960.33
429 7254.00 -13960.33
430 7657.00 -13960.33
431 9672.00 -13960.33
432 11284.00 -13960.33
433 12896.00 -13960.33
434 14508.00 -13960.33
435 16120.00 -13960.33
436 17732.00 -13960.33
437 19344.00 -13960.33
438 20956.00 -13960.33
439 22568.00 -13960.33
440 24180.00 -13960.33
441 25792.00 -13960.33
442 -8261.50 -13611.32
443 -7858.50 -13611.32
444 -7455.50 -13611.32
445 -7052.50 -13611.32
446 -6649.50 -13611.32
447 -6246.50 -13611.32
448 -5843.50 -13611.32
449 -5440.50 -13611.32
450 -5037.50 -13611.32
451 -4634.50 -13611.32
452 -4231.50 -13611.32
453 -3828.50 -13611.32
454 -3425.50 -13611.32
455 -3022.50 -13611.32
456 -2619.50 -13611.32
457 -2216.50 -13611.32
458 -1813.50 -13611.32
459 -1410.50 -13611.32
460 -1007.50 -13611.32
461 -604.50 -13611.32
462 -201.50 -13611.32
463 201.50 -13611.32
464 604.50 -13611.32
465 1007.50 -13611.32
466 1410.50 -13611.32
467 1813.50 -13611.32
468 2216.50 -13611.32
469 2619.50 -13611.32
470 3022.50 -13611.32
471 3425.50 -13611.32
472 3828.50 -13611.32
473 4231.50 -13611.32
474 4634.50 -13611.32
475 5037.50 -13611.32
476 5440.50 -13611.32
477 5843.50 -13611.32
478 6246.50 -13611.32
479 6649.50 -13611.32
480 7052.50 -13611.32
481 7455.50 -13611.32
482 7858.50 -13611.32
483 8261.50 -13611.32
484 -8866.00 -13262.31
485 -8463.00 -13262.31
486 -8060.00 -13262.31
487 -7657.00 -13262.31
488 -7254.00 -13262.31
489 -6851.00 -13262.31
490 -6448.00 -13262.31
491 -6045.00 -13262.31
492 -5642.00 -13262.31
493 -5239.00 -13262.31
494 -4836.00 -13262.31
495 -4433.00 -13262.31
496 -4030.00 -13262.31
497 -3627.00 -13262.31
498 -3224.00 -13262.31
499 -2821.00 -13262.31
500 -2418.00 -13262.31
501 -2015.00 -13262.31
502 -1612.00 -13262.31
503 -1209.00 -13262.31
504 -806.00 -13262.31
505 -403.00 -13262.31
506 0.00 -13262.31
507 403.00 -13262.31
508 806.00 -13262.31
509 1209.00 -13262.31
510 1612.00 -13262.31
511 2015.00 -13262.31
512 2418.00 -13262.31
513 2821.00 -13262.31
514 3224.00 -13262.31
515 3627.00 -13262.31
516 4030.00 -13262.31
517 4433.00 -13262.31
518 4836.00 -13262.31
519 5239.00 -13262.31
520 5642.00 -13262.31
521 6045.00 -13262.31
522 6448.00 -13262.31
523 6851.00 -13262.31
524 7254.00 -13262.31
525 7657.00 -13262.31
526 8060.00 -13262.31
527 8463.00 -13262.31
528 8866.00 -13262.31
529 -9067.50 -12913.30
530 -8664.50 -12913.30
531 -8261.50 -12913.30
532 -7858.50 -12913.30
533 -7455.50 -12913.30
534 -7052.50 -12913.30
535 -6649.50 -12913.30
536 -6246.50 -12913.30
537 -5843.50 -12913.30
538 -5440.50 -12913.30
