,True NSB Background,True gain,ADC noise,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
2013,2525.4410107383515,6.727272727272728,1.0,199.50086939114496,199.22125,0.27961939114496204,1.0921462135308542,199.50038547694916,3.9058314556040816,2.1826097355775427
419,2477364.918307932,6.727272727272728,1.0,199.71349707120336,199.22125,0.49224707120336575,3.129190141350892,199.87857097130416,6.356950247974367,3.5616816894210603
2045,3168361.4793772227,6.727272727272728,1.0,199.75616312896776,199.22125,0.5349131289677587,3.669700571862772,199.971394958454,6.860367362723601,3.7777636582582215
2056,79097.65460024284,6.727272727272728,1.0,199.50490335015024,199.22125,0.28365335015024584,1.1398021888173366,199.5080474057998,4.01829270908877,2.2434957364322883
2054,8640.938912687518,6.727272727272728,1.0,199.50329229219648,199.22125,0.28204229219647914,1.0887522772051148,199.50018914016425,3.8602447481410245,2.1766811587464487
760,211613.1105098844,6.727272727272728,1.0,199.520550809172,199.22125,0.29930080917199575,1.2673977904557656,199.53491687414663,4.2345284463546,2.369335969215184
382,16482.701005216102,6.727272727272728,1.0,199.50486220872276,199.22125,0.28361220872275794,1.097794741949038,199.5026136451186,3.8707598198714193,2.1841721819748727
1308,34879556.29318178,6.727272727272728,1.0,203.14786314404597,199.22125,3.926613144045973,29.191370418869244,204.6771077640416,7.4342364139265635,5.1419440377308465
1309,1184283.7210825274,6.727272727272728,1.0,199.59567748129777,199.22125,0.37442748129777215,2.005681529325224,199.67094051286156,5.356662182950614,2.9893582081829995
2079,35968849.29689019,6.727272727272728,1.0,203.2570967487169,199.22125,4.035846748716892,30.191336204516823,204.80882591109307,7.4807935197528215,5.197493721900097
386,103.12301278878752,6.727272727272728,1.0,199.5026672165567,199.22125,0.28141721655669016,1.0816797212083276,199.5013937212557,3.8436870865376793,2.157345964563193
1313,2059948.805972804,6.727272727272728,1.0,199.66262202182745,199.22125,0.4413720218274477,2.7450926355672687,199.8030711201509,6.219453204581349,3.418243498846643
2072,75242075.70679858,6.727272727272728,1.0,209.12058104033625,199.22125,9.89933104033625,62.0920133607199,210.5952581846101,6.272344374353889,5.354948753373348
421,1660990.9982561069,6.727272727272728,1.0,199.6341781625976,199.22125,0.4129281625976091,2.410143083201404,199.74324243248432,5.83671277841624,3.2427415037989533
1317,10077.1772643966,6.727272727272728,1.0,199.5011661960046,199.22125,0.27991619600459217,1.095205817531676,199.5016860161071,3.912620395547632,2.1830503190622506
392,2685.643817584557,6.727272727272728,1.0,199.4959973102022,199.22125,0.27474731020220133,1.0841197770806674,199.4993537657169,3.945879492988686,2.1710455623063853
2070,391430.28500989306,6.727272727272728,1.0,199.53658790009212,199.22125,0.3153379000921177,1.397416994537647,199.560120979049,4.431490772689956,2.494848518100929
1319,24583.917235044,6.727272727272728,1.0,199.501611203596,199.22125,0.2803612035960157,1.1047771017762642,199.50175767665016,3.940549147335607,2.201814049267754
2061,538540907.485355,6.727272727272728,1.0,277.7297010490874,199.22125,78.5084510490874,437.8608684159477,279.1679959372107,5.577245029865323,5.461791370697226
2058,139178650.4516809,6.727272727272728,1.0,218.57978693093776,199.22125,19.35853693093776,112.89462398183376,220.0216338127296,5.831774600766018,5.3704019862371855
2012,17731599.490647532,6.727272727272728,1.0,201.03539598268296,199.22125,1.814145982682959,15.25844142288326,202.10875951088315,8.41081234285093,4.9082090040952036
423,342.155642358924,6.727272727272728,1.0,199.4988189862028,199.22125,0.2775689862027946,1.0830651103572528,199.50052589482104,3.901967309726581,2.1638543011735685
2010,32798936.82192834,6.727272727272728,1.0,202.84643827618405,199.22125,3.6251882761840477,27.33900913492214,204.35006188477635,7.5414039360459855,5.110036056352083
453,3766.690469622064,6.727272727272728,1.0,199.4960650669472,199.22125,0.27481506694721247,1.0918732168576235,199.49925246108037,3.9731199201947494,2.187016193159725
