,True NSB Background,True gain,ADC noise,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
374,386.94218239479216,2.0,1.0,199.4950596047684,199.35,0.14505960476839164,1.0834015797626224,199.4963357068565,7.468664908417665,2.182799997655268
375,12887.943972007755,2.0,1.0,199.49664950091463,199.35,0.14664950091463425,1.0875023364469028,199.50191781319364,7.415656580242614,2.1666940440452906
376,628053530.2582097,2.0,1.0,226.6777073859432,199.35,27.3277073859432,46.12211705716442,227.10016038139577,1.6877419099155266,1.6413471108762931
377,2716794.32427352,2.0,1.0,199.6121486168664,199.35,0.2621486168663978,1.2760101497632876,199.6167263971329,4.867506702938652,2.069005243970935
378,3267309.813573191,2.0,1.0,199.63896438678583,199.35,0.28896438678583536,1.3174533657363745,199.64333948435493,4.5592239943145625,2.0478353929378073
379,12642599.898239331,2.0,1.0,199.98738845847717,199.35,0.6373884584771758,1.9822377860568583,200.04971222187115,3.109936742175635,1.8883630625196055
380,7582277346.385584,2.0,1.0,532.7463034288022,199.35,333.3963034288022,543.6097200710066,533.1155425970587,1.6305211379978486,1.6270111705835741
381,259.43189759960745,2.0,1.0,199.4998059844788,199.35,0.1498059844788031,1.08614176684689,199.49878790303225,7.250322946881834,2.1775623671784596
382,2634517.990507076,2.0,1.0,199.61253305118984,199.35,0.26253305118984827,1.26803020043727,199.61407010652383,4.8299830999956885,2.0649599890400627
383,306062.1909332746,2.0,1.0,199.5108948805928,199.35,0.16089488059279233,1.0986374698963122,199.51121667880116,6.828293515918916,2.14906421377466
384,273776179.9661078,2.0,1.0,211.16811817076487,199.35,11.818118170764876,20.625564469049984,211.55581774841215,1.7452494695875158,1.6427097686774208
385,10194061.408051511,2.0,1.0,199.9046134875329,199.35,0.5546134875329187,1.8089042957674517,199.9479316262566,3.2615584302033143,1.9082645263254279
386,602050.2224575036,2.0,1.0,199.5260486921368,199.35,0.17604869213681695,1.127151122507492,199.5271439149839,6.402496427701501,2.1382227708005073
387,667894468.1257764,2.0,1.0,228.5208515812166,199.35,29.170851581216596,48.59332067044273,228.9409028552688,1.6658176925397836,1.6229744609017893
407,2979363.8175219246,2.0,1.0,199.623861735086,199.35,0.2738617350860011,1.2972984064775903,199.62969915783407,4.737056113626821,2.0601876155270977
408,887.6608757158817,2.0,1.0,199.5056444515561,199.35,0.15564445155609974,1.0829420621648242,199.5029842387391,6.957794199136574,2.1530337906404564
409,9885340.946089877,2.0,1.0,199.89664128808784,199.35,0.5466412880878408,1.807171286350591,199.94444311118576,3.3059546099638806,1.9134781808950465
410,222.45665828277356,2.0,1.0,199.5032937635011,199.35,0.1532937635010967,1.0835245822702069,199.50156012481,7.068288738716074,2.1603084628800366
429,8640.938912687518,2.0,1.0,199.50676964149503,199.35,0.15676964149503192,1.082644904513128,199.5011493537156,6.905960198597745,2.16032385652351
430,125457.75038518534,2.0,1.0,199.5058365500751,199.35,0.15583655007509378,1.0916666498679215,199.5041212378403,7.005202883032731,2.165484347663469
431,29002630.90351479,2.0,1.0,200.60909383611775,199.35,1.2590938361177564,3.1695049655185805,200.7894536858904,2.517290510524073,1.7712137455748
432,41947347.85463207,2.0,1.0,201.09976511033517,199.35,1.7497651103351757,4.044111238322345,201.33852910471936,2.311230927188665,1.729339707665376
433,3884.3246947024018,2.0,1.0,199.89375,199.35,0.543750000000017,1.6210526315789473,199.6,2.9812462189956714,2.7017543859649376
434,1497.242525164446,2.0,1.0,199.498981705586,199.35,0.1489817055860101,1.0802886533975726,199.49991579372832,7.251149724379418,2.1609412364048195
435,76702.2340224364,2.0,1.0,199.4982399161433,199.35,0.14823991614329657,1.0914405190847498,199.50193547322115,7.362662820381694,2.1744638052386898
436,5182319.767811085,2.0,1.0,199.71192465230135,199.35,0.3619246523013544,1.4550838017127936,199.7259490962036,4.020405331497637,2.004388199285927
437,173.94048143208846,2.0,1.0,199.4980043403472,199.35,0.14800434034719956,1.0854507675116432,199.49789983198656,7.333911728300077,2.1800585133375723
438,860.7786484418891,2.0,1.0,199.85,199.35,0.5,1.6947368421052635,199.3,3.389473684210527,5.649122807017331
439,65770.33441658139,2.0,1.0,199.51287171220503,199.35,0.16287171220503183,1.0905862968978968,199.5085419889995,6.695983496047534,2.1445353982342965
