,True NSB Background,True gain,ADC noise,N samples,lamda poisson,amp std,pulse shape total sum,ps_sigma,ps_lamda,eta,Baseline mean,Offset,Baseline mean - offset,Signal Variance,Signal mean,Baseline/Var,Var/(Mean - Offset)
62,316227766.01683795,10.5,0.8,24948,0.0316227766016838,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,269.3782066698733,199.60256171690855,69.77564495296474,604.4206128086621,271.57543690877026,8.662343618838603,8.328170501659383
26,17782794.100389227,10.5,0.8,24935,0.0017782794100389,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,201.50452676960097,199.60256171690855,1.9019650526924181,34.70625201524606,203.5335472227792,18.247576087749852,7.655429691095212
0,5623413251.903491,10.5,0.8,24950,0.5623413251903492,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,1471.800741482966,199.60256171690855,1272.1981797660574,10429.86510273503,1474.493507014028,8.198302173842885,8.177121283158614
15,74989420.93324558,10.5,0.8,24946,0.0074989420933245,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,213.81799186242284,199.60256171690855,14.21543014551429,138.37486717390945,216.09019482081297,9.734131556868432,8.096740184927105
11,1000000.0,10.5,0.8,24183,0.0001,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.60256171690855,199.60256171690855,0.0,2.870789735065812,199.75007236488443,inf,3.8273503590658664
24,284803586.8435793,5.75,0.8,12449,0.0284803586843579,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,233.72119246525824,199.48874480347692,34.23244766178132,157.1577247767292,234.973652502209,4.590899439311414,4.368689689407511
51,43287.612810830615,5.75,0.8,8319,4.328761281083061e-06,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.50097667988945,199.48874480347692,0.012231876412528209,0.7463021537703661,199.5010217574228,61.01289193912913,1.4895603688136714
50,811130.8307896872,5.75,0.8,11711,8.111308307896873e-05,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.56737255571684,199.48874480347692,0.07862775223992458,1.0302680240850297,199.5902143284092,13.103109204257446,1.7455828747192936
49,316227766.01683795,5.75,0.8,24949,0.0316227766016838,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,237.57362018517776,199.48874480347692,38.08487538170084,170.7589765115384,238.6566595855545,4.483642779453213,4.305934445717655
56,4216965.034285823,5.75,0.8,24875,0.0004216965034285,0.6076485069237016,126.15904821685751,2.7118,0.0659,0.8271120062357109,199.8011256281407,199.48874480347692,0.3123808246637907,3.094888991875838,200.01977889447235,9.907423079527387,3.0348627615765427
